campaign_id,family_id,start_date,end_date,campaign_name,family_mapping_inferred
real_1_1,1,2021-11-24,2021-11-26,2021_1,True
real_2_2,2,2021-11-24,2021-11-26,2021_1,True
real_3_3,3,2021-11-24,2021-11-26,2021_1,True
real_4_4,4,2021-11-24,2021-11-26,2021_1,True
real_5_1,1,2022-03-14,2022-03-26,2022_1,True
real_6_2,2,2022-03-14,2022-03-26,2022_1,True
real_7_3,3,2022-03-14,2022-03-26,2022_1,True
real_8_4,4,2022-03-14,2022-03-26,2022_1,True
real_9_1,1,2022-11-24,2022-11-25,2022_2,True
real_10_2,2,2022-11-24,2022-11-25,2022_2,True
real_11_3,3,2022-11-24,2022-11-25,2022_2,True
real_12_4,4,2022-11-24,2022-11-25,2022_2,True
real_13_1,1,2023-09-12,2023-09-15,2023_1,True
real_14_2,2,2023-09-12,2023-09-15,2023_1,True
real_15_3,3,2023-09-12,2023-09-15,2023_1,True
real_16_4,4,2023-09-12,2023-09-15,2023_1,True
real_17_1,1,2023-11-24,2023-11-24,2023_2,True
real_18_2,2,2023-11-24,2023-11-24,2023_2,True
real_19_3,3,2023-11-24,2023-11-24,2023_2,True
real_20_4,4,2023-11-24,2023-11-24,2023_2,True
real_21_1,1,2024-03-04,2024-03-16,2024_1,True
real_22_2,2,2024-03-04,2024-03-16,2024_1,True
real_23_3,3,2024-03-04,2024-03-16,2024_1,True
real_24_4,4,2024-03-04,2024-03-16,2024_1,True
real_25_1,1,2024-06-07,2024-06-09,2024_2,True
real_26_2,2,2024-06-07,2024-06-09,2024_2,True
real_27_3,3,2024-06-07,2024-06-09,2024_2,True
real_28_4,4,2024-06-07,2024-06-09,2024_2,True
real_29_1,1,2024-09-12,2024-09-15,2024_3,True
real_30_2,2,2024-09-12,2024-09-15,2024_3,True
real_31_3,3,2024-09-12,2024-09-15,2024_3,True
real_32_4,4,2024-09-12,2024-09-15,2024_3,True
real_33_1,1,2024-11-28,2024-11-29,2024_4,True
real_34_2,2,2024-11-28,2024-11-29,2024_4,True
real_35_3,3,2024-11-28,2024-11-29,2024_4,True
real_36_4,4,2024-11-28,2024-11-29,2024_4,True
real_37_1,1,2025-11-28,2025-11-28,2025_1,True
real_38_2,2,2025-11-28,2025-11-28,2025_1,True
real_39_3,3,2025-11-28,2025-11-28,2025_1,True
real_40_4,4,2025-11-28,2025-11-28,2025_1,True
